Ind_ID_temp,Grp_ID_temp,block_dummy,cond_dummy,round,contr_player,mean_contr_others_prev,mean_contr_others_prev_c
2,20,1,1,19,20,20,10.122844827586217
2,20,1,1,20,20,19.666666666666668,9.789511494252885
2,20,1,1,21,19,20,10.122844827586217
2,20,1,1,22,20,19.666666666666668,9.789511494252885
2,20,1,1,23,19,20,10.122844827586217
2,20,1,1,24,20,19.666666666666668,9.789511494252885
2,20,1,1,25,20,20,10.122844827586217
2,20,1,1,26,20,20,10.122844827586217
2,20,1,1,27,20,20,10.122844827586217
2,20,1,1,28,20,19.666666666666668,9.789511494252885
2,20,1,1,29,20,20,10.122844827586217
2,20,1,1,30,20,20,10.122844827586217
3,20,0,1,2,13,15,5.122844827586217
3,20,0,1,3,13,10,0.12284482758621706
3,20,0,1,4,8,6.666666666666667,-3.210488505747116
3,20,0,1,5,4,3.3333333333333335,-6.543821839080449
